name,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,available
Fort Greene Retreat on the Park,Blaise,Brooklyn,Fort Greene,40.6932,-73.97267,Private room,95,3,143,16/06/2019,1.28,1,132
Beautiful Meatpacking District Loft,DAVID And RICK,Manhattan,Chelsea,40.74138,-74.00197,Private room,150,3,167,28/05/2019,1.65,1,295
Cozy 2 BR in Williamsburg,Lulú,Brooklyn,Williamsburg,40.71154,-73.96112,Private room,145,3,61,22/04/2019,0.54,4,238
Spacious luminous apt Upper West NYC,Sybilla,Manhattan,Harlem,40.82915,-73.95136,Entire home/apt,110,31,54,23/03/2019,0.49,1,209
Entire 2 Bedroom - Large & Sunny,JoLynn,Manhattan,Lower East Side,40.71851,-73.98892,Entire home/apt,285,5,70,30/06/2019,0.62,1,328
"Sunny, Spacious Top Floor Haven",Gaia,Brooklyn,Flatbush,40.65401,-73.96323,Entire home/apt,130,6,16,15/06/2019,0.15,1,38
Private room Great Deal at Lower East Side,Ana,Manhattan,Lower East Side,40.7114,-73.98794,Private room,94,30,94,08/04/2019,0.84,1,188
perfect for a family or small group,Maggie,Brooklyn,Brooklyn Heights,40.69723,-73.99268,Entire home/apt,800,1,25,04/08/2016,0.24,1,7
2 bedroom Williamsburg Apt - Bedford L stop,Starlee,Brooklyn,Williamsburg,40.71833,-73.95748,Entire home/apt,105,3,61,09/08/2018,0.53,1,272
Oh glorious spring!,Edward,Manhattan,East Village,40.72334,-73.9844,Private room,60,3,194,30/06/2019,1.73,1,26
Great Location for NYC,Pas,Manhattan,East Village,40.72912,-73.98057,Private room,50,1,2,14/02/2016,0.05,1,0
Cozy Bedroom in Williamsburg 3 BR,Lulú,Brooklyn,Williamsburg,40.71156,-73.96218,Private room,85,3,174,22/06/2019,1.54,4,288
Sunny room+Pvte office in huge loft,Augustin,Brooklyn,Bushwick,40.70032,-73.9383,Private room,65,4,24,26/05/2019,0.28,1,317
Spacious Prospect Heights Apartment,Sean & Lynette,Brooklyn,Prospect Heights,40.68233,-73.97261,Entire home/apt,131,4,166,27/06/2019,3.4,1,207
"Large Parlor Room, Landmark Home 1 block to PRATT",Erica,Brooklyn,Clinton Hill,40.68634,-73.966,Private room,98,7,16,31/05/2019,0.2,6,185
2-bed brownstone duplex + garden,Tracy,Brooklyn,Prospect Heights,40.68035,-73.97162,Entire home/apt,250,7,21,21/05/2019,0.3,1,158
Charming 1 bed GR8 WBurg LOCATION!,Christiana,Brooklyn,Williamsburg,40.70984,-73.95775,Entire home/apt,100,5,168,22/07/2018,1.57,1,0
Sunny Apartment in Artist Home,Tyrome,Brooklyn,Bushwick,40.70093,-73.92609,Entire home/apt,105,3,118,18/06/2019,1.05,2,9
Light-filled classic Central Park,Dana,Manhattan,Upper West Side,40.79764,-73.96177,Entire home/apt,140,3,81,07/07/2019,0.71,1,198
"Upper Manhattan, New York",Elliott,Manhattan,Harlem,40.82803,-73.94731,Private room,89,1,1,09/10/2018,0.11,1,365
COZY QUIET room 4 DOOGLERS!,Olan,Manhattan,Chelsea,40.74008,-74.00271,Private room,98,30,30,01/05/2019,0.27,2,364
The Stuydio Modern and Light Filled,Shelly,Brooklyn,Bedford-Stuyvesant,40.68413,-73.92357,Entire home/apt,125,7,139,28/10/2018,1.23,2,311
loft bed - near transportation-15min to times sq,Ssameer Or Trip,Manhattan,Harlem,40.82279,-73.95139,Private room,60,3,11,03/01/2019,0.87,3,219
House On Henry (3rd FLR Suite),Annette,Brooklyn,Carroll Gardens,40.67967,-74.00154,Entire home/apt,175,2,233,24/06/2019,2.09,3,342
Monkey Retreat Manhattan,Meka,Manhattan,Washington Heights,40.83927,-73.94281,Private room,65,2,68,01/11/2012,0.6,1,312
2000 SF 3br 2bath West Village private  townhouse,Ann,Manhattan,West Village,40.73096,-74.00319,Entire home/apt,500,4,46,18/05/2019,0.55,2,243
"Williamsburg—Steps To Subway, Private Bath&Balcony",Seth,Brooklyn,Williamsburg,40.71332,-73.94177,Private room,101,3,335,29/05/2019,3.02,1,152
Beautiful Duplex Apartment,Brenda,Brooklyn,Park Slope,40.66941,-73.98109,Entire home/apt,220,30,88,02/11/2018,0.79,1,9
Large 2 Bedroom Great for Groups!,Shelly,Brooklyn,Bedford-Stuyvesant,40.68373,-73.92377,Entire home/apt,125,90,162,28/06/2019,1.46,2,137
"Modern Brooklyn Apt., August sublet",Erik,Brooklyn,Williamsburg,40.71459,-73.94844,Entire home/apt,80,30,29,26/05/2018,0.4,1,222
"1,800 sq foot in luxury building",Dena,Manhattan,Harlem,40.8092,-73.94421,Private room,100,2,170,23/06/2019,1.61,1,346
Sunny 2-story Brooklyn townhouse w deck and garden,Jessica,Brooklyn,Gowanus,40.68157,-73.98989,Entire home/apt,200,30,19,17/03/2017,0.2,1,208
"Times Square, Safe, Clean and Cozy!",Luiz,Manhattan,Hell's Kitchen,40.75527,-73.99291,Private room,59,2,334,16/06/2019,3,2,279
"Cozy Room #3, Landmark Home 1 Block to PRATT",Erica,Brooklyn,Clinton Hill,40.68698,-73.96572,Private room,125,2,19,02/06/2019,0.2,6,250
Beautiful Apartment East Village,Sally,Manhattan,East Village,40.7288,-73.98192,Entire home/apt,140,7,12,11/12/2017,0.13,1,164
Park Slope Green Guest House,Dani,Brooklyn,South Slope,40.66853,-73.98912,Entire home/apt,120,30,467,30/12/2018,4.22,2,192
2 BR / 2 Bath Duplex Apt with patio! East Village,Bruce,Manhattan,East Village,40.7254,-73.98157,Entire home/apt,350,2,7,09/08/2017,0.06,4,298
NYC fabulous views Manhattan's eye,Nimo,Manhattan,Kips Bay,40.74294,-73.98009,Entire home/apt,199,5,38,02/12/2015,0.38,1,260
2 story family home in Williamsburg,Alexandra,Brooklyn,Williamsburg,40.71942,-73.95748,Entire home/apt,325,3,324,23/06/2019,3.01,1,107
Comfortable UWS 2-BD Family-Friendly Brownstone,Stacy,Manhattan,Upper West Side,40.77823,-73.97637,Entire home/apt,235,6,27,27/04/2019,0.27,1,199
Great Large 1 BR apt  in East Village!,Bruce,Manhattan,East Village,40.72555,-73.97965,Entire home/apt,225,1,115,07/06/2019,1.05,4,299
Eveland Private Bed & Living Room w/ Own Entrance,Evelyn,Brooklyn,South Slope,40.66831,-73.98604,Private room,99,2,354,20/05/2019,3.2,3,20
Sugar Hill Rest Stop,Emma,Manhattan,Harlem,40.82754,-73.94919,Entire home/apt,170,2,195,01/07/2019,2.03,1,318
3 Story Town House in Park Slope,Vero,Brooklyn,South Slope,40.66499,-73.97925,Entire home/apt,400,2,16,30/12/2018,0.24,2,216
apartment next to Central park,Sylvie,Manhattan,Upper West Side,40.77842,-73.97556,Entire home/apt,170,7,13,26/06/2019,0.12,1,224
East Village Sanctuary,Jen,Manhattan,East Village,40.72245,-73.98527,Entire home/apt,100,4,25,10/12/2011,0.23,1,0
Large 1  BR in a 3 BR Brooklyn apt. next to Q Trn.,Kay,Brooklyn,Prospect-Lefferts Gardens,40.65593,-73.96053,Private room,75,2,9,05/10/2018,0.08,1,324
Modern Apt with Spectacular Views,Jo,Brooklyn,Williamsburg,40.71923,-73.96468,Private room,90,1,9,18/09/2011,0.08,1,245
Garden studio in the Upper East Sid,Lisa,Manhattan,Upper East Side,40.778,-73.94822,Entire home/apt,150,5,21,15/08/2017,0.19,1,189
Secluded Master Bedroom in Beautiful Huge Apt,Fernando And Lenin,Manhattan,Washington Heights,40.85879,-73.93128,Private room,85,15,36,17/08/2017,0.33,1,307
B & B Room 1,Angela,Brooklyn,Bedford-Stuyvesant,40.68332,-73.9547,Private room,70,3,63,14/05/2019,0.58,2,310
ACCOMMODATIONS GALORE #1,Laurine,Manhattan,Harlem,40.81618,-73.94894,Entire home/apt,120,3,155,20/06/2019,1.42,3,213
Sunny Room in New Condo,Chris,Brooklyn,Clinton Hill,40.68414,-73.96351,Private room,89,3,260,03/07/2019,2.35,1,278
Stylish & Sleek Apartment Near SoHo!,Uli,Manhattan,East Village,40.72392,-73.99143,Entire home/apt,185,5,73,25/06/2019,0.66,1,209
NYC artists’ loft with roof deck,Sol,Brooklyn,Greenpoint,40.73494,-73.9503,Private room,50,3,193,20/05/2019,1.86,1,0
Unique & Charming small 1br Apt. LES,Cs,Manhattan,Lower East Side,40.71341,-73.98856,Entire home/apt,105,3,32,14/06/2019,0.29,1,16
Most Central Location!,Lara,Manhattan,Hell's Kitchen,40.76754,-73.98399,Private room,130,2,50,26/05/2019,0.45,3,234
Luminous Beautiful West Village Studio,Tom,Manhattan,West Village,40.73442,-74.00303,Entire home/apt,115,29,26,01/07/2019,0.25,1,12
Sanctuary in East Flatbush,Sunder,Brooklyn,Flatlands,40.63188,-73.93248,Private room,77,2,2,01/01/2019,0.02,1,178
Room with En Suite Bathroom & Deck,Waldemar,Brooklyn,Clinton Hill,40.6873,-73.9634,Private room,76,2,426,24/06/2019,3.89,3,275
FLAT MACDONOUGH,Khem,Brooklyn,Bedford-Stuyvesant,40.68296,-73.93662,Entire home/apt,125,3,227,23/06/2019,2.09,2,163
Huge Private  Floor at The Waverly,Sahr,Brooklyn,Clinton Hill,40.6863,-73.96765,Private room,135,4,84,01/07/2019,0.77,3,365
"Modern Greenpoint, Brooklyn Apt",Ali+Scott,Brooklyn,Greenpoint,40.73409,-73.95348,Entire home/apt,250,29,3,30/07/2017,0.03,1,34
"Sun-drenched, artsy modernist 1 BDRM duplex",Elisabeth,Brooklyn,Williamsburg,40.71561,-73.94835,Entire home/apt,199,3,10,11/06/2018,0.1,1,280
"Sunny, Cobble Hill Apartment",Sarah,Brooklyn,Cobble Hill,40.6857,-73.99183,Entire home/apt,140,2,4,24/04/2016,0.04,1,0
Fully Furnished Basement Apartment,Fredah,Queens,Flushing,40.74028,-73.83168,Private room,140,2,1,19/09/2011,0.01,1,1
FLAT MACDONOUGH GARDEN,Khem,Brooklyn,Bedford-Stuyvesant,40.68281,-73.93524,Entire home/apt,115,3,124,20/06/2019,1.72,2,170
Light filled Williamsburg Apartment,Katherine,Brooklyn,Williamsburg,40.71596,-73.93938,Entire home/apt,160,3,11,02/07/2019,0.11,1,188
Retreat in Williamsburg,Ming,Brooklyn,Williamsburg,40.71492,-73.95935,Entire home/apt,195,4,240,17/06/2019,2.19,1,214
NYC Zen,Paula,Manhattan,East Village,40.72354,-73.98295,Entire home/apt,195,3,30,17/06/2019,0.28,1,248
Cozy BR in Wiliamsburg 3 Bedroom,Lulú,Brooklyn,Williamsburg,40.71165,-73.96087,Private room,80,3,200,22/06/2019,1.86,4,262
Sunny Room in Old Historical Brooklyn Townhouse,Obed,Brooklyn,Fort Greene,40.69101,-73.97312,Private room,44,8,27,29/06/2019,1.05,5,280
Sun Filled Classic West Village Apt,Karen,Manhattan,West Village,40.73474,-74.00101,Private room,156,4,79,22/06/2019,0.74,1,307
Lg Rm in Historic Prospect Heights,Michael,Brooklyn,Prospect Heights,40.67386,-73.96641,Private room,85,15,9,10/05/2013,0.09,1,339
Classic Artist Loft Williamsburg,White,Brooklyn,Williamsburg,40.71536,-73.96057,Private room,125,3,155,13/06/2019,1.61,1,1
Great location. Spacious on PROSPECT PARK,Paz,Brooklyn,Prospect Heights,40.6741,-73.96595,Entire home/apt,115,15,4,27/08/2018,0.05,1,269
Private Bdrm/Bathrm. New! Elevator!,Irene,Manhattan,East Harlem,40.79295,-73.93997,Private room,69,2,34,29/05/2017,0.32,1,10
"Sunny, clean 1 bdrm in W. Village",Karene,Manhattan,West Village,40.73226,-74.00401,Entire home/apt,225,45,134,31/03/2019,1.24,1,312
Great location in Williamsburg,Viviana,Brooklyn,Williamsburg,40.71363,-73.96398,Entire home/apt,125,6,27,27/12/2018,0.25,1,189
Light and Airy Upper East Side 1 BDR apartment,Sara,Manhattan,Upper East Side,40.77711,-73.9527,Entire home/apt,219,4,126,26/06/2019,1.16,2,290
Luxury Brownstone in Boerum Hill,Sarah,Brooklyn,Boerum Hill,40.68559,-73.98094,Entire home/apt,475,3,23,31/12/2018,0.27,1,230
CENTRAL PARK LOFT all for YOU,Marie,Manhattan,Upper East Side,40.77456,-73.95323,Entire home/apt,99,1,234,08/06/2019,2.6,2,164
Indie-Chic Share In Williamsburg,Gus,Brooklyn,Williamsburg,40.71088,-73.95055,Private room,69,4,202,28/05/2019,1.86,2,53
"A room w/ a Manhattan view, longer stay",Myung,Queens,Sunnyside,40.74559,-73.92313,Private room,79,30,28,12/04/2019,0.26,1,126
"Private, Large & Sunny 1BR w/W&D",Renée,Brooklyn,Bedford-Stuyvesant,40.68306,-73.94659,Entire home/apt,135,2,309,22/06/2019,2.86,2,3
Luxurious Condo in DUBMO with View,Henry,Brooklyn,DUMBO,40.70207,-73.98571,Private room,250,3,14,25/04/2011,0.13,1,189
Charming & Cozy midtown loft any WEEK ENDS  !!!,Sylvia,Manhattan,Upper East Side,40.76123,-73.9642,Entire home/apt,250,3,4,23/09/2016,0.08,1,365
* Spacious GARDEN Park Slope Duplex* 6 people max,Syl,Brooklyn,Gowanus,40.66858,-73.99083,Entire home/apt,250,2,80,06/07/2019,2.17,1,0
Convenient cozy cheap apt Manhattan,Lorenzo,Manhattan,Harlem,40.82704,-73.94907,Entire home/apt,80,3,2,02/11/2015,0.04,1,0
Parlor Room In Victorian Townhouse,Waldemar,Brooklyn,Clinton Hill,40.68843,-73.96408,Private room,70,2,294,24/06/2019,3.47,3,336
House On Henry (2nd FLR Suite),Annette,Brooklyn,Carroll Gardens,40.6783,-74.00135,Entire home/apt,165,2,150,18/06/2019,1.4,3,342
New York room with a view,Newyorkroomwithaview,Staten Island,St. George,40.64524,-74.08088,Private room,70,2,166,13/06/2019,1.66,1,312
Sunny cozy room in Brklyn townhouse,Tessa,Brooklyn,Bushwick,40.70641,-73.91765,Private room,50,2,47,19/06/2019,0.94,1,37
Room with a View,Waundell,Bronx,Highbridge,40.83232,-73.93184,Private room,40,1,219,04/07/2019,2.04,3,353
Light+Open+Airy+Rustic+Modern Loft,Young,Brooklyn,Williamsburg,40.71045,-73.9677,Entire home/apt,150,2,193,06/07/2016,1.78,1,177
West Inn 2 - East Village,Bruce,Manhattan,East Village,40.72518,-73.98034,Private room,125,1,84,23/06/2019,0.78,4,310
Financial District Luxury Loft,Coral,Manhattan,Financial District,40.70666,-74.01374,Entire home/apt,196,3,114,20/06/2019,1.06,1,0
BROOKLYN VICTORIAN STYLE SUITE.....,Carol,Brooklyn,Fort Greene,40.69098,-73.97113,Private room,110,2,213,24/06/2019,2,2,321
Your own Lovely West Village Studio,Sara,Manhattan,West Village,40.73756,-74.00405,Entire home/apt,170,3,86,01/06/2019,0.8,1,246
ACCOMMODATIONS GALORE#3. 1-5 GUESTS,Laurine,Manhattan,Harlem,40.81526,-73.94791,Entire home/apt,165,3,80,26/05/2019,0.75,3,231
Greenwich Village Stylish Apartment,Myrna,Manhattan,West Village,40.73423,-74.0046,Entire home/apt,150,26,38,20/04/2016,0.36,1,225
Clean and Cozy Harlem Apartment,Campbell,Manhattan,Harlem,40.82374,-73.9373,Entire home/apt,100,2,18,17/12/2018,1.79,1,0
"Fort Greene, Brooklyn: Center Bedroom",Doug,Brooklyn,Fort Greene,40.68863,-73.97691,Private room,65,2,206,30/06/2019,1.92,2,0
Beautiful Queens Brownstone! - 5BR,Mark,Queens,Ridgewood,40.70382,-73.89797,Entire home/apt,350,8,10,12/05/2019,0.11,5,365
Couldn't Be Closer To Columbia Uni,Rahul,Manhattan,Morningside Heights,40.80549,-73.95924,Private room,99,4,122,14/05/2019,1.18,2,233
Bright Spacious Luxury Condo,Miyoung,Brooklyn,Williamsburg,40.71627,-73.9587,Entire home/apt,200,4,33,08/04/2019,0.58,1,1
Park Slope haven 15 mins from Soho,Monica,Brooklyn,Park Slope,40.67994,-73.97863,Entire home/apt,150,5,52,05/06/2019,0.5,1,18
SAFE  AND BEAUTIFUL ACCOMODATION,Marylyn,Brooklyn,Bedford-Stuyvesant,40.67992,-73.9475,Private room,90,3,126,19/05/2019,1.17,4,343
Large Room in private Brownstone in Park Slope,Kathleen R.,Brooklyn,Prospect Heights,40.67868,-73.97307,Private room,120,3,51,24/06/2019,0.48,3,250
